Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
T.J. McConnell,PG,IND,vs DEN,10th,103.75,4100,12.8,40.6,19.2,5.2,1.04,37.44,12.13,7.94,8.51,19.4,6.4,18.5,25.25,24.68,24.68,100,,59,6,,26,25.50,6.2
Duncan Robinson,SG,MIA,vs TOR,8th,109.50,4100,5.6,38.2,19.3,0.9,0.71,25.70,10.14,9.31,7.61,14.8,8.4,27.1,27.00,19.61,19.61,100,,52,4.8,Y,19,11.30,2.8
Thaddeus Young,PF,CHI,vs UTA,1st,102.75,4100,6.5,33.4,19.1,1.9,0.88,31.72,9.94,7.67,5.94,21.3,8.8,21.7,21.50,18.01,18.01,100,,60,4.4,,16,15.80,3.9
Bryn Forbes,SG,SAS,vs OKC,17th,109.50,4100,5.9,34.9,17.7,1.8,0.68,24.48,8.54,8.27,6.29,18.5,10.0,26.1,26.50,18.32,18.32,100,,53,4.5,Y,29,10.80,2.6
Cory Joseph,PG,SAC,vs MEM,24th,114.25,4100,0,28.7,17.4,3.8,0.66,23.76,9.43,8.42,4.52,14.4,6.4,26.4,17.25,11.86,11.86,100,,52,2.9,,18,21.60,5.3
Trevor Ariza,SF,SAC,vs MEM,26th,114.25,4100,1,31.7,15.5,1.4,0.66,23.67,13.60,8.76,7.74,11.9,4.9,23.6,20.50,14.17,14.17,100,,43,3.5,,25,19.10,4.7
Christian Wood,PF,DET,@ LAC,12th,105.75,4100,11.3,52.9,18.6,0.6,1.17,42.04,25.34,11.91,18.48,22.3,5.6,15.9,26.25,29.12,29.12,100,,36,7.1,,24,21.70,5.3
Mason Plumlee,C,DEN,@ IND,5th,104.75,4000,4.9,34.3,19.3,2.3,1.12,40.43,12.59,8.38,5.77,19.0,4.8,17.2,16.50,17.51,17.51,100,,57,4.4,,24,27.40,6.9
Tyler Herro,SG,MIA,vs TOR,6th,109.50,4000,4.7,40.1,22.3,2.1,0.78,28.16,9.79,10.11,6.87,21.9,11.8,28.5,25.25,19.83,19.83,100,,55,5,,33,23.30,5.8
Reggie Jackson,PG,DET,@ LAC,13th,105.75,4000,0,1.6,13.5,4.0,0.77,27.77,5.73,0.80,0,16.9,5.5,17.5,0.00,0.00,0.00,100,,0,0,,,,
Tim Frazier,PG,DET,@ LAC,13th,105.75,4000,6.8,34.6,11.7,3.6,0.88,31.84,18.50,7.94,11.31,19.7,3.8,13.3,22.00,18.73,18.73,100,,32,4.7,Y,12,7.80,2
Malik Monk,SG,CHA,@ CLE,29th,105.00,3900,1.4,34.9,16.5,2.1,0.82,29.41,12.45,9.58,6.83,21.4,8.2,20.2,19.75,15.76,15.76,100,,42,4,,16,5.40,1.4
Dion Waiters,SF,MIA,vs TOR,6th,109.50,3900,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Royce O'Neale,PF,UTA,@ CHI,13th,105.75,3900,10.4,35.4,18.7,2.5,0.64,22.89,8.49,7.15,7.61,9.2,4.9,29.4,32.25,21.11,21.11,100,,62,5.4,Y,29,14.10,3.6
Ky Bowman,PG,GSW,@ MIN,22nd,104.75,3900,0,38.9,17.5,3.0,0.77,27.59,12.57,11.30,7.51,16.1,7.3,22.8,21.50,16.29,16.29,100,,35,4.2,,27,20.40,5.2
Keita Bates-Diop,SF,MIN,vs GSW,12th,106.75,3900,0.8,33.8,13.8,0.5,0.75,27.13,11.93,9.44,6.63,14.1,5.6,18.3,20.00,14.96,14.96,100,,32,3.8,,20,16.80,4.3
Juan Jose Barea,PG,DAL,vs BKN,30th,115.00,3900,9.3,26,15.7,2.8,1.13,40.67,15.91,4.78,7.18,28.4,7.9,13.9,16.25,16.44,16.44,100,,70,4.2,Y,21,21.80,5.6
Darius Bazley,SF,OKC,@ SAS,24th,107.50,3900,0,23.7,11.3,0.5,0.66,23.79,14.18,7.14,5.51,13.7,4.1,17.2,14.00,9.41,9.41,100,,37,2.4,,12,15.60,4
Tyus Jones,PG,MEM,@ SAC,9th,110.25,3900,2.6,31.1,17.7,4.8,0.89,32.12,12.84,8.14,5.97,15.3,6.0,19.9,16.75,14.80,14.80,100,,54,3.8,,15,9.70,2.5
Marvin Williams,PF,CHA,@ CLE,29th,105.00,3800,0,30.4,15.1,1.0,0.74,26.55,12.36,8.94,5.92,13.6,5.4,20.4,17.25,12.55,12.55,100,,41,3.3,,14,15.90,4.2
Dante Exum,PG,CLE,vs CHA,26th,107.00,3800,2.7,18.7,5.9,0.6,0.64,23.08,19.70,4.56,7.93,18.8,2.6,9.2,14.50,9.57,9.57,100,,23,2.5,,12,16.00,4.2
